invoice_id,client_name,issue_date,due_date,paid_date,amount,status
INV-201,Apex Media,2025-12-27,2026-01-05,2026-01-03,1800,paid
INV-202,Horizon Consulting,2025-12-30,2026-01-07,2026-01-14,950,paid
INV-203,Orion Digital,2026-01-02,2026-01-12,2026-01-10,1500,paid
INV-204,MK Consulting,2025-12-29,2026-01-08,2026-01-15,600,paid
INV-205,NovaTech,2026-01-05,2026-01-18,2026-01-20,2100,paid
INV-206,Apex Media,2026-01-20,2026-01-28,2026-01-27,1300,paid
INV-207,Horizon Consulting,2026-01-25,2026-02-03,2026-02-10,1700,paid
INV-208,MK Consulting,2026-01-28,2026-02-06,2026-02-09,900,paid
INV-209,NovaTech,2026-02-01,2026-02-12,2026-02-13,2300,paid
INV-210,DesignLab Studio,2026-02-03,2026-02-13,2026-02-18,800,paid
INV-211,Orion Digital,2026-02-08,2026-02-17,2026-02-20,1900,paid
INV-212,Apex Media,2026-02-15,2026-02-24,2026-02-26,1250,paid
INV-213,Horizon Consulting,2026-02-20,2026-03-01,2026-03-08,1750,paid
INV-214,MK Consulting,2026-02-22,2026-03-03,2026-03-06,950,paid
INV-215,NovaTech,2026-02-25,2026-03-07,2026-03-10,2400,paid
INV-216,DesignLab Studio,2026-03-01,2026-03-10,2026-03-15,900,paid
INV-217,Orion Digital,2026-03-05,2026-03-15,2026-03-20,2000,paid
INV-218,Apex Media,2026-03-10,2026-03-20,2026-03-26,1350,paid
INV-219,NovaTech,2026-04-02,2026-04-15,,2600,unpaid
INV-220,Apex Media,2026-04-05,2026-04-18,,1450,unpaid
INV-221,Orion Digital,2026-04-10,2026-04-25,,2100,unpaid
INV-222,Horizon Consulting,2026-04-12,2026-04-28,,1800,unpaid
INV-223,MK Consulting,2026-04-18,2026-05-01,,1100,unpaid
